Slice,Count,Total Area,Average Size,%Area,Major,Minor,Angle
13.53 s,3,949,316.333,0.371,40.068,4.928,77.460
13.57 s,3,944,314.667,0.369,40.072,4.969,75.745
13.60 s,3,947,315.667,0.370,39.948,4.989,74.218
13.63 s,3,940,313.333,0.367,39.996,4.824,74.408
13.67 s,3,942,314.000,0.368,39.983,4.966,72.336
13.70 s,4,946,236.500,0.370,30.453,4.001,54.095
13.73 s,3,941,313.667,0.368,39.916,4.969,69.804
13.77 s,4,949,237.250,0.371,30.327,4.021,52.021
13.80 s,3,935,311.667,0.365,39.807,5.013,61.860
13.83 s,4,930,232.500,0.364,30.218,3.977,49.979
13.87 s,4,925,231.250,0.362,29.952,4.028,44.269
13.90 s,3,929,309.667,0.363,39.592,5.010,57.663
13.93 s,3,933,311.000,0.365,39.860,4.947,62.515
13.97 s,4,936,234.000,0.366,30.200,3.996,46.014
14.00 s,3,936,312.000,0.366,39.585,5.038,54.169
14.03 s,4,929,232.250,0.363,30.039,3.991,44.661
14.07 s,3,919,306.333,0.359,39.546,4.976,52.934
14.10 s,3,930,310.000,0.364,39.814,4.937,57.966
14.13 s,4,943,235.750,0.369,30.335,4.003,44.421
14.17 s,4,924,231.000,0.361,29.865,4.031,39.472
14.20 s,3,942,314.000,0.368,40.009,4.968,60.667
14.23 s,4,944,236.000,0.369,30.336,4.006,46.258
14.27 s,4,938,234.500,0.367,30.276,3.995,47.172
14.30 s,3,946,315.333,0.370,40.257,4.959,64.218
14.33 s,3,956,318.667,0.374,40.135,5.009,65.621
14.37 s,3,932,310.667,0.364,40.001,4.927,65.914
14.40 s,3,948,316.000,0.371,39.990,4.993,68.412
14.43 s,3,930,310.000,0.364,39.411,4.660,62.634
14.47 s,3,943,314.333,0.369,40.068,4.966,71.187
14.50 s,4,936,234.000,0.366,29.972,4.058,49.775
14.53 s,3,937,312.333,0.366,39.877,4.961,73.738
14.57 s,3,941,313.667,0.368,39.743,4.836,83.646
14.60 s,3,945,315.000,0.369,39.795,4.996,74.487
14.63 s,3,950,316.667,0.371,39.719,5.079,69.734
14.67 s,3,945,315.000,0.369,39.858,5.046,69.645
14.70 s,4,939,234.750,0.367,30.481,3.999,78.270
14.73 s,3,941,313.667,0.368,40.061,4.959,74.613
14.77 s,3,937,312.333,0.366,40.079,4.942,73.600
14.80 s,4,932,233.000,0.364,30.314,3.974,54.282
14.83 s,3,932,310.667,0.364,39.640,4.807,78.922
14.87 s,3,938,312.667,0.367,39.906,4.958,68.648
14.90 s,5,965,193.000,0.377,24.730,3.473,58.953
14.93 s,3,941,313.667,0.368,39.707,4.989,65.882
14.97 s,3,926,308.667,0.362,39.933,4.707,60.926
15.00 s,3,930,310.000,0.364,39.488,5.024,57.957
15.03 s,3,925,308.333,0.362,39.652,4.933,61.774
15.07 s,3,933,311.000,0.365,39.364,5.048,55.425
15.10 s,3,930,310.000,0.364,39.636,5.010,54.363
15.13 s,3,931,310.333,0.364,39.264,5.046,52.485
15.17 s,3,947,315.667,0.370,40.083,4.696,53.009
15.20 s,3,945,315.000,0.369,39.685,5.063,52.829
15.23 s,4,946,236.500,0.370,30.293,4.016,44.354
15.27 s,3,949,316.333,0.371,40.159,4.980,59.660
15.30 s,3,941,313.667,0.368,39.566,5.055,53.248
15.33 s,4,952,238.000,0.372,30.306,4.032,46.079
15.37 s,3,936,312.000,0.366,40.072,4.939,62.645
15.40 s,3,948,316.000,0.371,40.031,4.989,63.944
15.43 s,3,940,313.333,0.367,40.026,4.958,65.298
15.47 s,3,944,314.667,0.369,39.968,4.979,66.620
15.50 s,3,940,313.333,0.367,39.759,4.980,67.065
15.53 s,3,953,317.667,0.373,39.960,5.015,69.523
15.57 s,3,940,313.333,0.367,39.439,5.064,63.745
15.60 s,3,945,315.000,0.369,39.571,5.151,67.687
15.63 s,3,934,311.333,0.365,39.578,5.031,67.331
15.67 s,4,940,235.000,0.367,30.110,3.910,55.160
15.70 s,3,934,311.333,0.365,39.641,4.969,74.366
15.73 s,3,952,317.333,0.372,40.042,5.003,75.799
15.77 s,3,944,314.667,0.369,39.970,4.979,75.879
15.80 s,3,948,316.000,0.371,40.052,4.986,75.536
15.83 s,4,946,236.500,0.370,30.296,4.016,56.104
15.87 s,4,948,237.000,0.371,30.331,4.018,55.389
15.90 s,3,940,313.333,0.367,39.846,5.028,66.542
15.93 s,4,929,232.250,0.363,30.259,3.758,48.917
15.97 s,3,932,310.667,0.364,39.699,4.805,78.845
16.00 s,3,955,318.333,0.373,40.140,5.082,70.187
16.03 s,4,950,237.500,0.371,30.300,4.027,50.467
16.07 s,3,944,314.667,0.369,40.142,4.679,59.651
16.10 s,4,954,238.500,0.373,30.264,4.042,48.322
16.13 s,4,945,236.250,0.369,30.058,4.033,46.532
16.17 s,3,940,313.333,0.367,39.845,4.976,61.840
16.20 s,3,943,314.333,0.369,39.671,5.000,59.724
16.23 s,3,937,312.333,0.366,39.600,5.041,53.685
16.27 s,3,942,314.000,0.368,39.891,4.979,59.227
16.30 s,3,934,311.333,0.365,39.653,4.967,57.934
16.33 s,3,946,315.333,0.370,39.925,4.991,59.037
16.37 s,4,952,238.000,0.372,30.281,4.034,44.593
16.40 s,4,954,238.500,0.373,29.925,4.111,39.778
16.43 s,4,945,236.250,0.369,30.262,3.913,45.887
16.47 s,3,949,316.333,0.371,39.771,5.014,61.285
16.50 s,3,948,316.000,0.371,39.566,5.082,56.425
16.53 s,3,931,310.333,0.364,39.985,4.928,64.938
16.57 s,4,962,240.500,0.376,30.281,4.063,49.745
16.60 s,3,958,319.333,0.374,39.699,5.112,61.575
16.63 s,3,946,315.333,0.370,39.808,4.998,68.137
16.67 s,4,948,237.000,0.371,30.185,4.032,52.902
16.70 s,4,958,239.500,0.374,30.274,4.230,76.877
16.73 s,4,953,238.250,0.373,30.279,4.038,54.899
