 ,Area,XM,YM,Major,Minor,Angle
29941,845,628.507,183.979,103.386,10.406,114.286
29942,1,618.500,173.500,1.128,1.128,0.000
29943,2,626.500,191.000,2.257,1.128,90.000
29944,2,627.500,194.000,2.257,1.128,90.000
29945,1,629.500,197.500,1.128,1.128,0.000
29946,3,630.833,201.500,3.213,1.189,118.155
29947,833,625.346,180.592,103.315,10.266,114.591
29948,1,613.500,166.500,1.128,1.128,0.000
29949,1,620.500,182.500,1.128,1.128,0.000
29950,2,623.500,188.000,2.257,1.128,90.000
29951,1,624.500,190.500,1.128,1.128,0.000
29952,1,626.500,194.500,1.128,1.128,0.000
29953,2,627.500,197.000,2.257,1.128,90.000
29954,846,621.540,176.138,104.097,10.348,113.826
29955,1,611.500,165.500,1.128,1.128,0.000
29956,1,619.500,182.500,1.128,1.128,0.000
29957,2,622.500,191.000,2.257,1.128,90.000
29958,873,617.503,170.193,105.145,10.572,111.924
29959,3,606.500,156.500,3.385,1.128,90.000
