 ,Area,XM,YM,Major,Minor,Angle
1633,11,762.955,277.227,6.327,2.214,93.058
1634,919,178.786,55.658,110.172,10.621,65.366
1635,5,401.300,272.900,3.144,2.025,18.435
1636,10,763.000,277.500,5.642,2.257,90.000
1637,930,175.354,59.744,110.303,10.735,65.619
1638,5,401.300,272.900,3.144,2.025,18.435
1639,11,762.955,277.227,6.327,2.214,93.058
1640,935,171.580,65.003,110.524,10.771,66.877
1641,5,401.300,272.900,3.144,2.025,18.435
1642,11,762.955,277.227,6.327,2.214,93.058
1643,1,260.500,282.500,1.128,1.128,0.000
1644,1,9.500,25.500,1.128,1.128,0.000
1645,939,167.856,71.485,110.671,10.803,69.113
1646,4,401.000,273.000,2.257,2.257,0.000
1647,10,763.000,277.500,5.642,2.257,90.000
1648,1,9.500,25.500,1.128,1.128,0.000
1649,929,164.478,78.705,110.400,10.714,72.056
1650,4,401.250,272.750,3.192,1.596,18.435
1651,11,762.955,277.227,6.327,2.214,93.058
1652,934,161.722,86.611,110.526,10.760,75.419
1653,5,401.300,272.900,3.144,2.025,18.435
1654,10,763.000,277.500,5.642,2.257,90.000
1655,934,159.621,94.818,110.801,10.733,79.276
1656,4,401.000,273.000,2.257,2.257,0.000
1657,10,763.000,277.500,5.642,2.257,90.000
1658,915,158.448,102.697,110.483,10.545,83.320
1659,5,401.300,272.900,3.144,2.025,18.435
1660,11,762.955,277.227,6.327,2.214,93.058
1661,945,157.874,110.533,110.526,10.886,87.489
1662,1,499.500,243.500,1.128,1.128,0.000
1663,5,401.300,272.900,3.144,2.025,18.435
1664,11,762.955,277.227,6.327,2.214,93.058
1665,943,158.111,117.074,110.513,10.864,91.668
1666,4,401.000,273.000,2.257,2.257,0.000
1667,11,762.955,277.227,6.327,2.214,93.058
1668,931,158.677,123.355,110.639,10.714,95.977
1669,5,401.300,272.900,3.144,2.025,18.435
1670,10,763.000,277.500,5.642,2.257,90.000
1671,931,159.452,128.456,110.142,10.762,100.117
1672,5,401.300,272.900,3.144,2.025,18.435
1673,11,762.955,277.227,6.327,2.214,93.058
1674,1,260.500,281.500,1.128,1.128,0.000
1675,2,9.500,26.000,2.257,1.128,90.000
1676,939,160.040,131.789,110.517,10.818,104.234
1677,5,401.300,272.900,3.144,2.025,18.435
1678,12,762.750,277.417,5.179,2.950,94.837
1679,1,9.500,26.500,1.128,1.128,0.000
1680,936,160.098,133.739,110.515,10.784,108.103
1681,5,401.300,272.900,3.144,2.025,18.435
1682,11,762.955,277.227,6.327,2.214,93.058
