 ,XM,YM,Major,Minor,Angle
554,43.430,28.966,1.800,1.421,162.231
555,54.910,28.660,0.604,0.604,0.000
556,268.120,28.660,0.604,0.604,0.000
557,274.442,30.517,3.049,1.798,90.781
558,147.051,29.732,0.604,0.604,0.000
559,267.049,29.732,0.604,0.604,0.000
560,82.231,30.267,0.604,0.604,0.000
561,140.622,30.267,0.604,0.604,0.000
562,191.693,30.446,1.267,0.865,45.000
563,265.977,30.267,0.604,0.604,0.000
564,39.374,30.803,0.604,0.604,0.000
565,50.792,34.084,5.126,2.281,90.481
566,270.777,32.410,4.301,2.124,6.657
567,128.837,31.874,0.604,0.604,0.000
568,40.178,32.678,1.390,0.526,45.000
569,53.035,32.678,1.390,0.526,135.000
570,145.980,34.553,0.604,0.604,0.000
571,141.158,35.089,0.604,0.604,0.000
572,46.874,35.624,0.604,0.604,0.000
573,243.478,36.160,0.604,0.604,0.000
574,61.874,40.446,0.604,0.604,0.000
575,78.749,41.249,1.209,1.209,0.000
576,268.120,41.517,0.604,0.604,0.000
577,244.121,42.267,1.684,1.085,161.565
578,0.268,42.589,0.604,0.604,0.000
579,148.658,42.589,0.604,0.604,0.000
580,275.620,42.589,0.604,0.604,0.000
581,55.981,43.124,0.604,0.604,0.000
582,89.195,43.124,0.604,0.604,0.000
583,192.854,43.392,1.390,0.526,45.000
584,242.942,43.124,0.604,0.604,0.000
585,43.124,44.196,0.604,0.604,0.000
586,55.981,44.196,0.604,0.604,0.000
587,250.978,44.196,0.604,0.604,0.000
588,20.625,44.731,0.604,0.604,0.000
589,30.803,44.731,0.604,0.604,0.000
590,37.767,44.731,0.604,0.604,0.000
591,55.981,45.267,0.604,0.604,0.000
592,201.157,45.267,0.604,0.604,0.000
593,250.763,45.803,1.971,0.927,25.670
594,142.765,46.338,0.604,0.604,0.000
595,254.728,46.338,0.604,0.604,0.000
596,258.478,46.606,1.209,0.604,90.000
597,37.767,46.874,0.604,0.604,0.000
598,251.246,46.874,1.209,0.604,0.000
599,268.120,50.578,9.218,3.686,155.443
600,35.357,47.946,1.209,0.604,0.000
601,36.696,47.946,0.604,0.604,0.000
602,120.266,47.946,0.604,0.604,0.000
603,207.586,47.946,0.604,0.604,0.000
604,251.513,48.481,0.604,0.604,0.000
605,0.268,49.285,1.209,0.604,90.000
606,61.874,49.017,0.604,0.604,0.000
607,143.837,49.017,0.604,0.604,0.000
608,167.943,50.624,0.604,0.604,0.000
609,276.691,50.624,0.604,0.604,0.000
610,0.268,51.160,0.604,0.604,0.000
611,37.017,51.588,1.684,1.085,108.435
612,40.714,51.696,1.209,0.604,0.000
613,128.301,51.696,0.604,0.604,0.000
614,28.124,52.231,0.604,0.604,0.000
615,72.588,52.231,0.604,0.604,0.000
616,242.406,52.231,0.604,0.604,0.000
617,0.268,53.838,3.022,0.604,90.000
618,15.803,52.767,0.604,0.604,0.000
619,130.291,53.226,1.879,1.362,59.527
620,29.196,53.303,0.604,0.604,0.000
621,83.570,54.173,2.426,1.205,50.884
622,201.157,53.303,0.604,0.604,0.000
623,85.981,53.838,0.604,0.604,0.000
624,109.284,53.838,1.209,0.604,0.000
625,164.193,53.838,0.604,0.604,0.000
626,167.943,53.838,0.604,0.604,0.000
627,160.444,54.374,0.604,0.604,0.000
628,41.517,54.910,0.604,0.604,0.000
629,72.588,54.910,0.604,0.604,0.000
630,169.015,54.910,0.604,0.604,0.000
631,252.049,55.445,1.813,0.604,90.000
632,35.357,55.981,1.785,0.819,153.435
